"guname";"xcode";"ycode"
"용산구";37.5549;126.97
"용산구";37.5531;126.976
"용산구";37.5552;126.977
"용산구";37.5532;126.979
"용산구";37.5537;126.985
"용산구";37.5472;126.995
"용산구";37.5497;126.998
"용산구";37.5502;127.004
"용산구";37.5482;127.006
"용산구";37.5462;127.005
"용산구";37.5439;127.007
"용산구";37.5441;127.009
"용산구";37.5396;127.01
"용산구";37.5377;127.017
"용산구";37.5338;127.017
"용산구";37.5229;127.006
"용산구";37.5131;126.991
"용산구";37.5065;126.986
"용산구";37.507;126.975
"용산구";37.5175;126.95
"용산구";37.527;126.95
"용산구";37.5345;126.945
"용산구";37.5375;126.953
"용산구";37.5423;126.958
"용산구";37.5455;126.958
"용산구";37.5488;126.964
"용산구";37.5516;126.962
"용산구";37.5541;126.966
"용산구";37.5557;126.969
"용산구";37.5549;126.97
"중구";37.5441;127.009
"중구";37.5439;127.007
"중구";37.5462;127.005
"중구";37.5482;127.006
"중구";37.5502;127.004
"중구";37.5497;126.998
"중구";37.5472;126.995
"중구";37.5537;126.985
"중구";37.5532;126.979
"중구";37.5552;126.977
"중구";37.5531;126.976
"중구";37.5549;126.972
"중구";37.5549;126.969
"중구";37.5557;126.969
"중구";37.5516;126.962
"중구";37.555;126.962
"중구";37.557;126.963
"중구";37.559;126.962
"중구";37.562;126.969
"중구";37.5658;126.967
"중구";37.5682;126.969
"중구";37.5695;126.976
"중구";37.5681;126.989
"중구";37.5696;127.002
"중구";37.5697;127.015
"중구";37.572;127.022
"중구";37.5719;127.023
"중구";37.5697;127.023
"중구";37.5652;127.024
"중구";37.5651;127.027
"중구";37.5634;127.027
"중구";37.5607;127.023
"중구";37.5578;127.023
"중구";37.5569;127.018
"중구";37.5526;127.016
"중구";37.5475;127.009
"중구";37.545;127.008
"중구";37.5441;127.009
"종로구";37.6318;126.975
"종로구";37.6322;126.976
"종로구";37.629;126.975
"종로구";37.6286;126.98
"종로구";37.6264;126.98
"종로구";37.6212;126.984
"종로구";37.6178;126.984
"종로구";37.614;126.987
"종로구";37.6114;126.986
"종로구";37.604;126.987
"종로구";37.601;126.979
"종로구";37.5979;126.977
"종로구";37.5945;126.985
"종로구";37.5913;126.989
"종로구";37.5923;127.001
"종로구";37.5892;127.002
"종로구";37.5861;127.007
"종로구";37.5824;127.007
"종로구";37.5805;127.009
"종로구";37.5803;127.011
"종로구";37.5823;127.015
"종로구";37.5817;127.017
"종로구";37.5776;127.018
"종로구";37.5789;127.021
"종로구";37.578;127.023
"종로구";37.5719;127.023
"종로구";37.5697;127.015
"종로구";37.5696;127.002
"종로구";37.5681;126.99
"종로구";37.5693;126.973
"종로구";37.5682;126.969
"종로구";37.5658;126.967
"종로구";37.5787;126.954
"종로구";37.581;126.958
"종로구";37.5935;126.958
"종로구";37.5951;126.959
"종로구";37.5983;126.958
"종로구";37.5988;126.953
"종로구";37.6025;126.952
"종로구";37.6051;126.954
"종로구";37.6091;126.95
"종로구";37.6155;126.951
"종로구";37.6243;126.949
"종로구";37.6264;126.95
"종로구";37.6296;126.959
"종로구";37.6298;126.964
"종로구";37.6324;126.973
"종로구";37.6318;126.975
"서대문구";37.5985;126.953
"서대문구";37.5992;126.955
"서대문구";37.5983;126.958
"서대문구";37.5951;126.959
"서대문구";37.5935;126.958
"서대문구";37.581;126.958
"서대문구";37.5787;126.954
"서대문구";37.562;126.969
"서대문구";37.5575;126.96
"서대문구";37.5565;126.941
"서대문구";37.5551;126.937
"서대문구";37.5588;126.927
"서대문구";37.5633;126.928
"서대문구";37.5651;126.926
"서대문구";37.5708;126.91
"서대문구";37.576;126.902
"서대문구";37.5872;126.913
"서대문구";37.5854;126.915
"서대문구";37.5859;126.916
"서대문구";37.5831;126.916
"서대문구";37.5835;126.922
"서대문구";37.5871;126.924
"서대문구";37.5884;126.928
"서대문구";37.5916;126.928
"서대문구";37.5946;126.93
"서대문구";37.5987;126.941
"서대문구";37.6007;126.941
"서대문구";37.6031;126.94
"서대문구";37.6106;126.95
"서대문구";37.6084;126.951
"서대문구";37.6051;126.954
"서대문구";37.6025;126.952
"서대문구";37.5985;126.953
"동대문구";37.6071;127.071
"동대문구";37.6011;127.073
"동대문구";37.5972;127.069
"동대문구";37.5895;127.07
"동대문구";37.5865;127.073
"동대문구";37.585;127.072
"동대문구";37.5803;127.076
"동대문구";37.5719;127.078
"동대문구";37.56;127.072
"동대문구";37.5623;127.059
"동대문구";37.5704;127.048
"동대문구";37.5729;127.043
"동대문구";37.573;127.038
"동대문구";37.5698;127.031
"동대문구";37.5719;127.023
"동대문구";37.5784;127.023
"동대문구";37.5827;127.03
"동대문구";37.5889;127.036
"동대문구";37.5912;127.036
"동대문구";37.5913;127.039
"동대문구";37.5957;127.041
"동대문구";37.597;127.043
"동대문구";37.5962;127.047
"동대문구";37.6012;127.051
"동대문구";37.6002;127.052
"동대문구";37.6013;127.055
"동대문구";37.6011;127.059
"동대문구";37.6051;127.062
"동대문구";37.6071;127.071
"성북구";37.6366;126.984
"성북구";37.6314;126.994
"성북구";37.6262;126.999
"성북구";37.6238;127.005
"성북구";37.624;127.008
"성북구";37.6205;127.007
"성북구";37.6168;127.01
"성북구";37.6147;127.015
"성북구";37.6146;127.018
"성북구";37.6114;127.022
"성북구";37.6127;127.026
"성북구";37.6124;127.03
"성북구";37.609;127.03
"성북구";37.6128;127.037
"성북구";37.6243;127.05
"성북구";37.6145;127.062
"성북구";37.6156;127.07
"성북구";37.6135;127.072
"성북구";37.6076;127.071
"성북구";37.6051;127.062
"성북구";37.6011;127.059
"성북구";37.6013;127.055
"성북구";37.6002;127.052
"성북구";37.6012;127.051
"성북구";37.5962;127.047
"성북구";37.5964;127.042
"성북구";37.5913;127.039
"성북구";37.5912;127.036
"성북구";37.5889;127.036
"성북구";37.5827;127.03
"성북구";37.5778;127.023
"성북구";37.5789;127.022
"성북구";37.5776;127.018
"성북구";37.5817;127.017
"성북구";37.5823;127.015
"성북구";37.5803;127.011
"성북구";37.5805;127.009
"성북구";37.5824;127.007
"성북구";37.5861;127.007
"성북구";37.5892;127.002
"성북구";37.5923;127.001
"성북구";37.5913;126.989
"성북구";37.5945;126.985
"성북구";37.5979;126.977
"성북구";37.601;126.979
"성북구";37.6045;126.987
"성북구";37.6114;126.986
"성북구";37.614;126.987
"성북구";37.6178;126.984
"성북구";37.6212;126.984
"성북구";37.6264;126.98
"성북구";37.6286;126.98
"성북구";37.6298;126.975
"성북구";37.6337;126.977
"성북구";37.6348;126.982
"성북구";37.6378;126.985
"성북구";37.6366;126.984
"성동구";37.5728;127.042
"성동구";37.5704;127.048
"성동구";37.5623;127.059
"성동구";37.5594;127.074
"성동구";37.5283;127.056
"성동구";37.5342;127.046
"성동구";37.5358;127.04
"성동구";37.5358;127.021
"성동구";37.5338;127.017
"성동구";37.5377;127.017
"성동구";37.5394;127.01
"성동구";37.5416;127.009
"성동구";37.545;127.008
"성동구";37.5475;127.009
"성동구";37.5526;127.016
"성동구";37.5569;127.018
"성동구";37.5578;127.023
"성동구";37.5607;127.023
"성동구";37.5634;127.027
"성동구";37.5651;127.027
"성동구";37.5652;127.024
"성동구";37.5719;127.023
"성동구";37.5698;127.031
"성동구";37.573;127.038
"성동구";37.5728;127.042
"마포구";37.5847;126.889
"마포구";37.5708;126.91
"마포구";37.5651;126.926
"마포구";37.5633;126.928
"마포구";37.5588;126.927
"마포구";37.5568;126.932
"마포구";37.5551;126.937
"마포구";37.5565;126.941
"마포구";37.5572;126.959
"마포구";37.5591;126.962
"마포구";37.5582;126.963
"마포구";37.5548;126.962
"마포구";37.5488;126.964
"마포구";37.5455;126.958
"마포구";37.5423;126.958
"마포구";37.5395;126.956
"마포구";37.5363;126.951
"마포구";37.5357;126.946
"마포구";37.5338;126.945
"마포구";37.5414;126.93
"마포구";37.539;126.927
"마포구";37.5414;126.922
"마포구";37.5414;126.905
"마포구";37.548;126.899
"마포구";37.563;126.866
"마포구";37.5718;126.854
"마포구";37.5738;126.854
"마포구";37.5775;126.865
"마포구";37.5782;126.876
"마포구";37.5798;126.878
"마포구";37.5844;126.877
"마포구";37.5908;126.882
"마포구";37.5847;126.889
"중랑구";37.5975;127.07
"중랑구";37.597;127.07
"중랑구";37.5961;127.07
"중랑구";37.5953;127.07
"중랑구";37.5945;127.07
"중랑구";37.5935;127.07
"중랑구";37.5929;127.07
"중랑구";37.5925;127.07
"중랑구";37.5891;127.071
"중랑구";37.5816;127.077
"중랑구";37.5719;127.078
"중랑구";37.5703;127.089
"중랑구";37.5693;127.091
"중랑구";37.5722;127.094
"중랑구";37.5726;127.098
"중랑구";37.5737;127.099
"중랑구";37.5726;127.098
"중랑구";37.5737;127.099
"중랑구";37.5754;127.103
"중랑구";37.5777;127.104
"중랑구";37.5801;127.106
"중랑구";37.5807;127.108
"중랑구";37.5846;127.11
"중랑구";37.5863;127.108
"중랑구";37.5877;127.111
"중랑구";37.5885;127.112
"중랑구";37.5908;127.109
"중랑구";37.5938;127.111
"중랑구";37.5939;127.112
"중랑구";37.5921;127.114
"중랑구";37.592;127.118
"중랑구";37.5924;127.119
"중랑구";37.5957;127.116
"중랑구";37.599;127.114
"중랑구";37.5989;127.114
"중랑구";37.6004;127.114
"중랑구";37.6079;127.119
"중랑구";37.6195;127.121
"중랑구";37.6205;127.112
"중랑구";37.6186;127.102
"중랑구";37.6202;127.098
"중랑구";37.6172;127.093
"중랑구";37.6201;127.085
"중랑구";37.6159;127.071
"중랑구";37.614;127.071
"중랑구";37.609;127.072
"중랑구";37.6016;127.072
"중랑구";37.597;127.07
"중랑구";37.5978;127.07
"은평구";37.594;126.886
"은평구";37.5908;126.882
"은평구";37.5761;126.902
"은평구";37.587;126.913
"은평구";37.5856;126.916
"은평구";37.5833;126.916
"은평구";37.5835;126.922
"은평구";37.5872;126.924
"은평구";37.5871;126.926
"은평구";37.5871;126.926
"은평구";37.5888;126.929
"은평구";37.5892;126.927
"은평구";37.5954;126.93
"은평구";37.5986;126.941
"은평구";37.6052;126.942
"은평구";37.6117;126.949
"은평구";37.6234;126.945
"은평구";37.6327;126.956
"은평구";37.632;126.965
"은평구";37.6365;126.968
"은평구";37.6464;126.956
"은평구";37.6555;126.954
"은평구";37.6551;126.952
"은평구";37.6576;126.947
"은평구";37.659;126.948
"은평구";37.6564;126.94
"은평구";37.6512;126.935
"은평구";37.6462;126.924
"은평구";37.645;126.913
"은평구";37.6493;126.905
"은평구";37.6491;126.905
"은평구";37.6444;126.912
"은평구";37.6423;126.911
"은평구";37.641;126.909
"은평구";37.6366;126.909
"은평구";37.6315;126.905
"은평구";37.6293;126.907
"은평구";37.6192;126.905
"은평구";37.6167;126.901
"은평구";37.6133;126.902
"은평구";37.6093;126.9
"은평구";37.5969;126.901
"은평구";37.5888;126.897
"은평구";37.5886;126.89
"은평구";37.5887;126.888
"은평구";37.5908;126.886
"은평구";37.5936;126.887
"은평구";37.594;126.885
"은평구";37.5909;126.882
"영등포구";37.4851;126.903
"영등포구";37.4964;126.912
"영등포구";37.4977;126.92
"영등포구";37.5126;126.925
"영등포구";37.5127;126.927
"영등포구";37.5154;126.927
"영등포구";37.5182;126.949
"영등포구";37.5323;126.947
"영등포구";37.5399;126.933
"영등포구";37.5411;126.907
"영등포구";37.5565;126.882
"영등포구";37.5544;126.88
"영등포구";37.5552;126.878
"영등포구";37.5536;126.877
"영등포구";37.5299;126.891
"영등포구";37.5297;126.891
"영등포구";37.5306;126.89
"영등포구";37.531;126.887
"영등포구";37.5273;126.88
"영등포구";37.5192;126.879
"영등포구";37.5122;126.888
"영등포구";37.5048;126.894
"영등포구";37.505;126.894
"영등포구";37.4931;126.895
"영등포구";37.487;126.898
"영등포구";37.4853;126.902
"영등포구";37.4851;126.903
"양천구";37.5474;126.829
"양천구";37.5467;126.827
"양천구";37.5414;126.825
"양천구";37.5412;126.824
"양천구";37.5415;126.822
"양천구";37.5412;126.821
"양천구";37.5403;126.821
"양천구";37.5386;126.822
"양천구";37.536;126.822
"양천구";37.5336;126.823
"양천구";37.5298;126.826
"양천구";37.5299;126.827
"양천구";37.5259;126.829
"양천구";37.523;126.825
"양천구";37.5186;126.825
"양천구";37.5186;126.824
"양천구";37.5156;126.823
"양천구";37.5129;126.825
"양천구";37.5116;126.823
"양천구";37.5089;126.827
"양천구";37.5079;126.831
"양천구";37.505;126.832
"양천구";37.5037;126.834
"양천구";37.5037;126.834
"양천구";37.5095;126.859
"양천구";37.5072;126.862
"양천구";37.5049;126.868
"양천구";37.506;126.87
"양천구";37.5054;126.872
"양천구";37.5043;126.872
"양천구";37.5037;126.873
"양천구";37.5135;126.879
"양천구";37.5254;126.88
"양천구";37.5272;126.881
"양천구";37.5275;126.883
"양천구";37.531;126.888
"양천구";37.5298;126.89
"양천구";37.5299;126.891
"양천구";37.532;126.889
"양천구";37.5347;126.89
"양천구";37.5481;126.88
"양천구";37.547;126.878
"양천구";37.547;126.872
"양천구";37.5512;126.864
"양천구";37.5437;126.862
"양천구";37.5296;126.864
"양천구";37.5264;126.84
"양천구";37.5363;126.834
"양천구";37.537;126.835
"양천구";37.5421;126.832
"양천구";37.5419;126.831
"양천구";37.5461;126.831
"양천구";37.5473;126.829
"양천구";37.5467;126.827
"송파구";37.5223;127.07
"송파구";37.5205;127.067
"송파구";37.5026;127.071
"송파구";37.501;127.082
"송파구";37.494;127.101
"송파구";37.4918;127.106
"송파구";37.4662;127.124
"송파구";37.4661;127.125
"송파구";37.4668;127.124
"송파구";37.4694;127.125
"송파구";37.4686;127.127
"송파구";37.4679;127.13
"송파구";37.4694;127.135
"송파구";37.4718;127.13
"송파구";37.4758;127.131
"송파구";37.4727;127.139
"송파구";37.478;127.146
"송파구";37.482;127.15
"송파구";37.4865;127.152
"송파구";37.4871;127.154
"송파구";37.4998;127.161
"송파구";37.5033;127.158
"송파구";37.5025;127.157
"송파구";37.5033;127.151
"송파구";37.5051;127.151
"송파구";37.5049;127.15
"송파구";37.503;127.148
"송파구";37.5046;127.142
"송파구";37.5087;127.14
"송파구";37.5126;127.141
"송파구";37.5129;127.143
"송파구";37.5132;127.143
"송파구";37.5154;127.14
"송파구";37.5159;127.14
"송파구";37.5163;127.145
"송파구";37.5165;127.145
"송파구";37.5275;127.119
"송파구";37.5385;127.123
"송파구";37.5431;127.112
"송파구";37.5415;127.108
"송파구";37.5198;127.078
"송파구";37.5205;127.072
"송파구";37.5223;127.07
"송파구";37.5223;127.069
"서초구";37.5259;127.012
"서초구";37.509;126.987
"서초구";37.5055;126.985
"서초구";37.5058;126.983
"서초구";37.5066;126.982
"서초구";37.5064;126.981
"서초구";37.5051;126.981
"서초구";37.5048;126.98
"서초구";37.5025;126.981
"서초구";37.4997;126.986
"서초구";37.4971;126.983
"서초구";37.4761;126.982
"서초구";37.4646;126.989
"서초구";37.4594;126.988
"서초구";37.4592;126.989
"서초구";37.4608;126.99
"서초구";37.4627;126.996
"서초구";37.4672;126.997
"서초구";37.4686;127.001
"서초구";37.4664;127.006
"서초구";37.4652;127.004
"서초구";37.4556;127.011
"서초구";37.4552;127.016
"서초구";37.4564;127.017
"서초구";37.4561;127.02
"서초구";37.4568;127.022
"서초구";37.4582;127.026
"서초구";37.4605;127.028
"서초구";37.4666;127.03
"서초구";37.4642;127.035
"서초구";37.4613;127.035
"서초구";37.4551;127.038
